,출원번호,출원일,등록번호,등록일
0,17/986301,2022-11-14, , 
1,17/895479,2022-08-25, , 
2,17/510062,2021-10-25, , 
3,17/902801,2022-09-03, , 
4,17/902286,2022-09-02, , 
5,17/722128,2022-04-15, , 
6,17/900983,2022-09-01, , 
7,17/471057,2021-09-09, , 
8,17/468963,2021-09-08, , 
9,17/447230,2021-09-09, , 
10,17/465989,2021-09-03, , 
11,17/447000,2021-09-07, , 
12,17/470451,2021-09-09, , 
13,17/822205,2022-08-25, , 
14,17/466545,2021-09-03, , 
15,17/447077,2021-09-08, , 
16,17/022956,2020-09-16,11597395,2023-03-07
17,17/657479,2022-03-31,11599148,2023-03-07
18,16/276894,2019-02-15,11599688,2023-03-07
19,16/824804,2020-03-20,11599717,2023-03-07
20,17/121683,2020-12-14,11600039,2023-03-07
21,17/221153,2021-04-02,11600050,2023-03-07
22,17/657234,2022-03-30,11601580,2023-03-07
23,17/477303,2021-09-16,11601883,2023-03-07
24,17/446498,2021-08-31, , 
25,17/896451,2022-08-26, , 
26,17/412649,2021-08-26, , 
27,17/412113,2021-08-25, , 
28,17/464539,2021-09-01, , 
29,17/462637,2021-08-31, , 
30,17/460494,2021-08-30, , 
31,17/893318,2022-08-23, , 
32,17/412049,2021-08-25, , 
33,17/465598,2021-09-02, , 
34,17/462018,2021-08-31, , 
35,17/818784,2022-08-10, , 
36,17/722144,2022-04-15, , 
37,17/459586,2021-08-27, , 
38,17/821981,2022-08-24, , 
39,17/898153,2022-08-29, , 
40,17/463914,2021-09-01, , 
41,17/411130,2021-08-25, , 
42,17/897401,2022-08-29, , 
43,17/711767,2022-04-01,11592871,2023-02-28
44,17/711867,2022-04-01,11592872,2023-02-28
45,17/272650,2019-10-15,11593097,2023-02-28
46,16/863802,2020-04-30,11593869,2023-02-28
47,17/557273,2021-12-21,11593982,2023-02-28
48,17/472924,2021-09-13,11595269,2023-02-28
49,17/380372,2021-07-20,11595271,2023-02-28
50,15/978365,2018-05-14,11595637,2023-02-28
51,17/887240,2022-08-12, , 
52,17/816237,2022-07-29, , 
53,17/407467,2021-08-20, , 
54,17/893929,2022-08-23, , 
55,17/893073,2022-08-22, , 
56,17/404325,2021-08-17, , 
57,17/975227,2022-10-27, , 
58,17/405387,2021-08-18, , 
59,17/408382,2021-08-21, , 
60,17/104041,2020-11-25,11584546,2023-02-21
61,16/819570,2020-03-16,11586184,2023-02-21
62,17/385055,2021-07-26,11586336,2023-02-21
63,16/446205,2019-06-19,11586942,2023-02-21
64,17/647154,2022-01-05,11587297,2023-02-21
65,17/657968,2022-04-05,11588897,2023-02-21
66,17/044562,2019-04-16,11588917,2023-02-21
67,17/399633,2021-08-11, , 
68,17/796928,2021-02-03, , 
69,17/398991,2021-08-10, , 
70,17/880115,2022-08-03, , 
71,17/466116,2021-09-03, , 
72,17/733308,2022-04-29, , 
73,17/767618,2020-09-29, , 
74,17/444138,2021-07-30, , 
75,17/980269,2022-11-03, , 
76,17/444875,2021-08-11, , 
77,17/403795,2021-08-16, , 
78,17/748626,2022-05-19, , 
79,17/828558,2022-05-31, , 
80,17/796798,2021-01-29, , 
81,17/402294,2021-08-13, , 
82,16/853333,2020-04-20,11577161,2023-02-14
83,17/524265,2021-11-11,11577625,2023-02-14
84,17/551230,2021-12-15,11577834,2023-02-14
85,16/198801,2018-11-22,11577933,2023-02-14
86,16/990972,2020-08-11,11579592,2023-02-14
87,17/224709,2021-04-07,11580672,2023-02-14
88,17/712355,2022-04-04,11580711,2023-02-14
89,16/889489,2020-06-01,11582288,2023-02-14
90,17/713387,2022-04-05,11582312,2023-02-14
91,17/444474,2021-08-04, , 
92,17/964681,2022-10-12, , 
93,17/917837,2021-05-07, , 
94,17/734113,2022-05-02, , 
95,17/394646,2021-08-05, , 
96,17/938860,2022-10-07, , 
97,17/972002,2022-10-24, , 
98,17/733043,2022-04-29, , 
99,17/873413,2022-07-26, , 
100,17/911947,2021-03-10, , 
101,17/868312,2022-07-19, , 
102,16/615982,2019-06-07,11572777,2023-02-07
103,17/362402,2021-06-29,11573686,2023-02-07
104,17/141671,2021-01-05,11573874,2023-02-07
105,17/079479,2020-10-25,11574435,2023-02-07
106,17/657788,2022-04-04,11574451,2023-02-07
107,17/711889,2022-04-01,11574452,2023-02-07
108,17/658745,2022-04-11,11574455,2023-02-07
109,17/962977,2022-10-10, , 
110,17/868668,2022-07-19, , 
111,17/389184,2021-07-29, , 
112,17/958673,2022-10-03, , 
113,17/839878,2022-06-14, , 
114,17/867580,2022-07-18, , 
115,17/742325,2022-05-11, , 
116,17/525291,2021-11-12, , 
117,17/392156,2021-08-02, , 
118,17/387072,2021-07-28, , 
119,16/901205,2020-06-15,11567481,2023-01-31
120,17/638622,2020-08-04,11567489,2023-01-31
121,17/708699,2022-03-30,11567535,2023-01-31
122,16/947373,2020-07-30,11567563,2023-01-31
123,16/577352,2019-09-20,11567573,2023-01-31
124,17/046412,2019-04-10,11567823,2023-01-31
125,17/248457,2021-01-26,11568104,2023-01-31
126,17/015524,2020-09-09,11568110,2023-01-31
127,17/386863,2021-07-28,11570419,2023-01-31
128,17/453741,2021-11-05, , 
129,17/814045,2022-07-21, , 
130,17/758194,2020-12-29, , 
131,17/380759,2021-07-20, , 
132,17/813257,2022-07-18, , 
133,17/745102,2022-05-16, , 
